Trial,Algorithm,Seed,Parameters,Instance,Base,Flight Limit,Trucks Used,Trucks Submitted,Objective,Paper Makespan,Time,Flight Optimizer,Convergence Iterations,Convergence Count,Convergence First Objective,Convergence Final Objective,Convergence Improvement,Convergence Improvement Percent
1,vns,0,vns_k_max=2;vns_max_iter=50,MTLARP5_5_6_2.dat,23,1168.000000,5,5,1611.435059,1611.435059,104.592691,bc,initial@0;restart_elite@30;final@50,3,1611.435059,1611.435059,0.000000,0.000000
2,vns,0,vns_k_max=3;vns_max_iter=50,MTLARP5_5_6_2.dat,23,1168.000000,5,5,1611.435059,1611.435059,151.700858,bc,initial@0;restart_elite@30;final@50,3,1611.435059,1611.435059,0.000000,0.000000
3,vns,0,vns_k_max=4;vns_max_iter=50,MTLARP5_5_6_2.dat,23,1168.000000,5,5,1611.435059,1611.435059,180.478541,bc,initial@0;restart_elite@30;final@50,3,1611.435059,1611.435059,0.000000,0.000000
4,lns,0,lns_destroy_frac=0.2;lns_max_iter=100,MTLARP5_5_6_2.dat,23,1168.000000,5,5,1587.900891,1587.900891,146.273160,bc,initial_pool@0;candidate2:lns@20;candidate2:candidate_vnd@100,3,1611.435059,1587.900891,23.534168,1.460448
5,lns,0,lns_destroy_frac=0.2;lns_max_iter=200,MTLARP5_5_6_2.dat,23,1168.000000,5,5,1540.202891,1540.202891,159.238051,bc,initial_pool@0;candidate2:lns@47;candidate2:candidate_vnd@200;candidate1:splitting@1,4,1611.435059,1540.202891,71.232168,4.420418
6,lns,0,lns_destroy_frac=0.3;lns_max_iter=100,MTLARP5_5_6_2.dat,23,1168.000000,5,5,1565.454514,1565.454514,153.922333,bc,initial_pool@0;candidate2:lns@72;candidate2:candidate_vnd@100;candidate10:splitting@10,4,1611.435059,1565.454514,45.980545,2.853391
7,lns,0,lns_destroy_frac=0.3;lns_max_iter=200,MTLARP5_5_6_2.dat,23,1168.000000,5,5,1587.900891,1587.900891,149.702633,bc,initial_pool@0;candidate2:lns@7;candidate2:candidate_vnd@200,3,1611.435059,1587.900891,23.534168,1.460448
8,lns,0,lns_destroy_frac=0.4;lns_max_iter=100,MTLARP5_5_6_2.dat,23,1168.000000,5,5,1587.900891,1587.900891,148.855939,bc,initial_pool@0;candidate2:lns@37;candidate2:candidate_vnd@100,3,1611.435059,1587.900891,23.534168,1.460448
9,lns,0,lns_destroy_frac=0.4;lns_max_iter=200,MTLARP5_5_6_2.dat,23,1168.000000,5,5,1515.346576,1515.346576,175.499431,bc,initial_pool@0;candidate2:lns@12;candidate2:lns@19;candidate2:candidate_vnd@200;candidate1:splitting@1,5,1611.435059,1515.346576,96.088483,5.962914
10,vnd,0,vnd_split_top_k=5,MTLARP5_5_6_2.dat,23,1168.000000,5,5,1560.607088,1560.607088,113.037263,bc,0;1,2,1611.435059,1560.607088,50.827972,3.154205
11,vnd,0,vnd_split_top_k=10,MTLARP5_5_6_2.dat,23,1168.000000,5,5,1560.607088,1560.607088,162.624590,bc,0;1,2,1611.435059,1560.607088,50.827972,3.154205
12,vnd,0,vnd_split_top_k=15,MTLARP5_5_6_2.dat,23,1168.000000,5,5,1560.607088,1560.607088,191.615323,bc,0;1,2,1611.435059,1560.607088,50.827972,3.154205
